ORDER_ID,PRACTICE_ID,PRODUCT,ORDER_DATE,QUANTITY,REVENUE,TERRITORY
ORD00001,P0001,DAXXIFY,2026-01-26,2,995.2,Northeast
ORD00002,P0001,RHA_REDENSITY,2025-06-23,10,14360.22,Northeast
ORD00003,P0001,RHA3,2025-06-24,10,2523.01,Northeast
ORD00004,P0001,RHA4,2026-03-06,9,9422.66,Northeast
ORD00005,P0001,RHA2,2026-01-12,10,7666.5,Northeast
ORD00006,P0001,DAXXIFY,2025-09-25,8,5218.79,Northeast
ORD00007,P0001,RHA3,2025-12-15,2,2630.11,Northeast
ORD00008,P0001,RHA4,2025-12-17,8,4597.47,Northeast
ORD00009,P0001,RHA_REDENSITY,2025-11-10,1,791.27,Northeast
ORD00010,P0001,RHA3,2025-12-24,6,2104.19,Northeast
ORD00011,P0001,RHA_REDENSITY,2025-11-09,1,1054.96,Northeast
ORD00012,P0001,RHA4,2025-08-30,7,1893.26,Northeast
ORD00013,P0001,RHA3,2025-09-11,10,11833.76,Northeast
ORD00014,P0001,RHA4,2025-07-18,1,464.63,Northeast
ORD00015,P0001,RHA2,2025-08-26,5,3847.75,Northeast
ORD00016,P0001,RHA4,2025-06-11,2,475.06,Northeast
ORD00017,P0001,RHA_REDENSITY,2025-07-16,4,4490.87,Northeast
ORD00018,P0001,RHA_REDENSITY,2025-12-26,1,917.93,Northeast
ORD00019,P0001,RHA2,2026-04-17,2,1599.76,Northeast
ORD00020,P0001,SKINPEN,2026-04-04,3,2543.66,Northeast
ORD00021,P0002,SKINPEN,2025-09-16,5,3700.69,Southeast
ORD00022,P0002,RHA4,2025-09-29,4,3175.29,Southeast
ORD00023,P0002,RHA4,2026-03-21,4,5593.71,Southeast
ORD00024,P0002,SKINPEN,2025-09-16,3,3969.71,Southeast
ORD00025,P0002,RHA4,2026-01-13,6,8487.14,Southeast
ORD00026,P0002,RHA3,2025-09-17,1,567.69,Southeast
ORD00027,P0002,RHA_REDENSITY,2026-01-02,10,14985.73,Southeast
ORD00028,P0002,RHA2,2025-09-26,8,7201.24,Southeast
ORD00029,P0002,RHA3,2025-12-09,9,10725.61,Southeast
