PRACTICE_ID,PRACTICE_NAME,TERRITORY,PRACTICE_TYPE,MONTHS_ACTIVE,CHURNED
P0001,Practice_1,Northeast,Dermatology,20,1
P0002,Practice_2,Southeast,Dermatology,8,0
P0003,Practice_3,Northeast,Dermatology,8,1
P0004,Practice_4,Southwest,Primary Care,4,0
P0005,Practice_5,Southwest,OB/GYN,17,0
P0006,Practice_6,Midwest,Dermatology,13,0
P0007,Practice_7,Midwest,Med Spa,12,1
P0008,Practice_8,Midwest,Dermatology,8,0
P0009,Practice_9,Midwest,Med Spa,19,0
P0010,Practice_10,West,Primary Care,10,0
P0011,Practice_11,West,Dermatology,21,0
P0012,Practice_12,Southwest,Med Spa,15,0
P0013,Practice_13,Northeast,Plastic Surgery,21,0
P0014,Practice_14,Southeast,Dermatology,27,0
P0015,Practice_15,Midwest,Plastic Surgery,26,0
P0016,Practice_16,Midwest,Dermatology,13,0
P0017,Practice_17,Southeast,Plastic Surgery,32,0
P0018,Practice_18,Southwest,Plastic Surgery,23,0
P0019,Practice_19,Northeast,Plastic Surgery,5,0
P0020,Practice_20,West,Med Spa,7,1
P0021,Practice_21,Southwest,Med Spa,16,0
P0022,Practice_22,West,OB/GYN,12,0
P0023,Practice_23,Southeast,Primary Care,19,0
P0024,Practice_24,West,Primary Care,28,0
P0025,Practice_25,Southeast,Primary Care,34,1
P0026,Practice_26,Northeast,Dermatology,12,0
P0027,Practice_27,West,Primary Care,7,0
P0028,Practice_28,Southwest,OB/GYN,36,0
P0029,Practice_29,Southwest,Dermatology,10,0
P0030,Practice_30,Southwest,Med Spa,24,1
P0031,Practice_31,West,Plastic Surgery,32,1
P0032,Practice_32,Midwest,Primary Care,14,0
P0033,Practice_33,Northeast,Med Spa,35,0
P0034,Practice_34,Southeast,Med Spa,13,0
P0035,Practice_35,Southwest,Dermatology,23,0
P0036,Practice_36,Northeast,Med Spa,22,1
P0037,Practice_37,Southeast,Primary Care,8,1
P0038,Practice_38,West,Dermatology,11,1
P0039,Practice_39,West,Primary Care,13,0
P0040,Practice_40,Southwest,OB/GYN,16,0
P0041,Practice_41,Southeast,Med Spa,28,0
P0042,Practice_42,Midwest,OB/GYN,36,0
P0043,Practice_43,Southeast,Plastic Surgery,7,0
P0044,Practice_44,Southwest,Primary Care,17,0
P0045,Practice_45,Northeast,Dermatology,6,1
P0046,Practice_46,Northeast,Med Spa,7,0
P0047,Practice_47,Midwest,OB/GYN,16,0
P0048,Practice_48,Southwest,Primary Care,33,1
P0049,Practice_49,West,OB/GYN,15,1
P0050,Practice_50,West,Med Spa,30,0
P0051,Practice_51,Northeast,Dermatology,6,0
P0052,Practice_52,Midwest,Dermatology,18,1
P0053,Practice_53,Southwest,OB/GYN,11,0
P0054,Practice_54,Midwest,OB/GYN,18,0
P0055,Practice_55,Northeast,OB/GYN,9,1
P0056,Practice_56,Southwest,Dermatology,8,0
P0057,Practice_57,Southeast,Plastic Surgery,29,0
P0058,Practice_58,Southeast,OB/GYN,6,1
